id,color,reg_city,assembly,cc,body
11907254,White,Islamabad,Imported,660 cc,Hatchback
11907247,White,Punjab,Imported,660 cc,Hatchback
11854698,Unlisted,Islamabad,Imported,660 cc,Hatchback
11875284,Black,Islamabad,Imported,660 cc,Hatchback
11907230,Burgundy,Islamabad,Imported,660 cc,Hatchback
11903043,Turquoise,Islamabad,Imported,660 cc,Hatchback
11906964,Purple,Lahore,Imported,660 cc,Hatchback
11844083,White,Islamabad,Imported,660 cc,Hatchback
11905810,Indigo,Islamabad,Imported,660 cc,Hatchback
11905719,White,Punjab,Imported,660 cc,Hatchback
11905705,Golden,Punjab,Imported,660 cc,Hatchback
11905555,White,Punjab,Imported,660 cc,N/A
11905339,White,Punjab,Local,660 cc,Hatchback
11905158,White,Islamabad,Local,660 cc,Hatchback
11904981,White,Islamabad,Local,660 cc,Hatchback
11904929,Maroon,Islamabad,Imported,660 cc,N/A
11904832,Silver,Islamabad,Imported,660 cc,Hatchback
11904581,White,Punjab,Local,660 cc,Hatchback
11904380,White,Islamabad,Local,660 cc,Hatchback
11903924,Urban Brown Pearl,Punjab,Imported,660 cc,Hatchback
11903898,White,Islamabad,Local,660 cc,Hatchback
11903820,White,Islamabad,Local,660 cc,Hatchback
11903597,Black,Islamabad,Local,660 cc,Hatchback
11903208,White,Islamabad,Local,660 cc,Hatchback
11903102,Silver,Punjab,Local,660 cc,Hatchback
11902423,White,Islamabad,Local,660 cc,Hatchback
11902544,White,Islamabad,Imported,660 cc,Hatchback
11902347,White,Islamabad,Local,660 cc,Hatchback
11902263,White,Islamabad,Local,660 cc,Hatchback
11902243,White,Punjab,Local,660 cc,Hatchback
11902191,White,Islamabad,Local,660 cc,Hatchback
11901776,Black,Islamabad,Imported,660 cc,Hatchback
11878260,Maroon,Punjab,Imported,660 cc,Hatchback
11765965,White,Lahore,Local,660 cc,Hatchback
11134998,White,Punjab,Imported,660 cc,Hatchback
11900181,Navy,Islamabad,Imported,660 cc,Hatchback
11899595,White,Islamabad,Imported,660 cc,N/A
11898927,Burgundy,Lahore,Imported,660 cc,N/A
11898931,Turquoise,Karachi,Imported,660 cc,Hatchback
11651753,White,Islamabad,Imported,660 cc,N/A
11898424,Solid White,Punjab,Local,660 cc,Hatchback
11898157,White,Islamabad,Imported,660 cc,Hatchback
11897756,Black,Islamabad,Imported,660 cc,Hatchback
11646711,RED VINE,Islamabad,Imported,660 cc,Hatchback
11897501,Purple,Islamabad,Imported,660 cc,Hatchback
11876109,Purple,Islamabad,Imported,660 cc,Hatchback
11473653,Urban Brown Pearl Metallic,Islamabad,Local,660 cc,Hatchback
11897298,White,Islamabad,Imported,660 cc,Hatchback
11897063,Navy,Lahore,Imported,660 cc,Hatchback
11896950,White,Islamabad,Local,660 cc,Hatchback
11896408,White,Punjab,Local,660 cc,Hatchback
11890168,White,Karachi,Local,660 cc,Hatchback
11896027,Black,Islamabad,Imported,660 cc,Hatchback
11756491,Black,Islamabad,Imported,660 cc,Mini Van
11895876,White,Islamabad,Local,660 cc,Hatchback
11895606,White,Sindh,Imported,660 cc,Hatchback
11893170,White,Peshawar,Imported,660 cc,Hatchback
11895405,White,Islamabad,Local,660 cc,Hatchback
11895177,Silver,Punjab,Local,660 cc,Hatchback
11894630,Grey,Punjab,Local,660 cc,Hatchback
11894247,White,Islamabad,Imported,660 cc,Hatchback
11894185,White,Islamabad,Local,660 cc,Hatchback
11892667,White,Islamabad,Imported,660 cc,Hatchback
11894017,Silver,Islamabad,Imported,660 cc,Hatchback
11893859,Solid White,Punjab,Local,660 cc,Hatchback
11893727,Navy,Punjab,Imported,660 cc,Hatchback
11893725,White,Punjab,Local,660 cc,Hatchback
11893700,White,Islamabad,Local,660 cc,Hatchback
11893417,Silver,Islamabad,Imported,660 cc,Hatchback
11885268,sky blue,Islamabad,Imported,660 cc,Hatchback
11724773,red wine,Islamabad,Local,660 cc,Hatchback
11893100,White,Islamabad,Local,660 cc,Hatchback
11892961,Grey,Islamabad,Local,660 cc,Hatchback
11892762,Yellow,Islamabad,Imported,660 cc,Hatchback
11892688,White,Islamabad,Local,660 cc,Hatchback
11892343,White,Islamabad,Imported,658 cc,Hatchback
11839822,Black,Islamabad,Imported,660 cc,Hatchback
11360586,Brown,Islamabad,Imported,660 cc,N/A
11891311,Black,Karachi,Imported,660 cc,Hatchback
11890642,White,Swat,Imported,660 cc,Hatchback
11859876,Blue,Islamabad,Local,660 cc,Hatchback
11890111,White,Islamabad,Local,660 cc,Hatchback
11889798,Maroon,Punjab,Imported,660 cc,Hatchback
11889540,Silver,Islamabad,Imported,660 cc,Hatchback
11889319,White,Islamabad,Local,660 cc,Hatchback
11848154,redwine,Islamabad,Local,660 cc,Mini Van
11863193,Silver,Islamabad,Imported,660 cc,Hatchback
11878312,White,Punjab,Local,660 cc,Hatchback
11885597,Maroon,Islamabad,Local,660 cc,Hatchback
11730820,Beige,Islamabad,Imported,660 cc,Hatchback
11886577,White,Islamabad,Local,660 cc,Hatchback
11886505,White,Islamabad,Local,660 cc,N/A
11886380,Black,Islamabad,Imported,660 cc,SUV
11885969,White,Islamabad,Local,660 cc,Hatchback
