id,source,model_full,year,price_lacs,url,first_seen,last_seen,high_price_seen
11842223,PakWheels,Daihatsu Mira,2018,24.5,https://www.pakwheels.com/used-cars/daihatsu-mira-2018-for-sale-in-islamabad-11842223,2026-08-10T19:17,2026-08-12T12:42,24.5
11840337,PakWheels,Suzuki Alto,2021,24.5,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-islamabad-11840337,2026-08-10T19:17,2026-08-12T12:42,24.5
1117845973,OLX,Suzuki Alto,2021,24.75,https://www.olx.com.pk/item/-iid-1117845973,2026-08-10T11:09,2026-08-12T12:42,24.75
1117819078,OLX,Daihatsu Move,2014,24.75,https://www.olx.com.pk/item/-iid-1117819078,2026-08-10T11:09,2026-08-12T12:42,24.75
11596076,PakWheels,Daihatsu Move,2013,24.8,https://www.pakwheels.com/used-cars/daihatsu-move-2013-for-sale-in-islamabad-11596076,2026-08-10T19:17,2026-08-12T12:42,24.8
1117849953,OLX,Daihatsu Mira,2013,24.8,https://www.olx.com.pk/item/-iid-1117849953,2026-08-10T11:09,2026-08-12T12:42,24.8
1116285323,OLX,Nissan Moco,2015,25.0,https://www.olx.com.pk/item/-iid-1116285323,2026-08-10T11:09,2026-08-12T12:42,25.0
11839541,PakWheels,Suzuki Alto,2023,25.1,https://www.pakwheels.com/used-cars/suzuki-alto-2023-for-sale-in-islamabad-11839541,2026-08-10T11:09,2026-08-12T12:42,25.1
11841973,PakWheels,Mazda Flair,2015,25.2,https://www.pakwheels.com/used-cars/mazda-flair-2015-for-sale-in-rawalpindi-11841973,2026-08-10T19:17,2026-08-12T12:42,25.2
11511796,PakWheels,Suzuki Every,2025,25.5,https://www.pakwheels.com/used-cars/suzuki-every-2025-for-sale-in-islamabad-11511796,2026-08-11T21:17,2026-08-12T12:42,25.5
1116212481,OLX,Suzuki Hustler,2014,25.75,https://www.olx.com.pk/item/-iid-1116212481,2026-08-10T11:09,2026-08-12T12:42,25.75
11840550,PakWheels,Suzuki Every,2025,25.8,https://www.pakwheels.com/used-cars/suzuki-every-2025-for-sale-in-rawalpindi-11840550,2026-08-10T19:17,2026-08-12T12:42,25.8
1117820431,OLX,Suzuki Alto,2021,25.8,https://www.olx.com.pk/item/-iid-1117820431,2026-08-11T18:02,2026-08-12T12:42,25.8
1117813986,OLX,Suzuki Alto,2021,25.95,https://www.olx.com.pk/item/-iid-1117813986,2026-08-09T13:20,2026-08-12T12:42,25.95
11839974,PakWheels,Suzuki Alto,2022,25.99,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-rawalpindi-11839974,2026-08-10T19:17,2026-08-12T12:42,25.99
1117824588,OLX,Suzuki Alto,2020,26.0,https://www.olx.com.pk/item/-iid-1117824588,2026-08-11T21:17,2026-08-12T12:42,26.0
1115203383,OLX,Honda N Box,2012,26.0,https://www.olx.com.pk/item/-iid-1115203383,2026-08-09T13:20,2026-08-12T12:42,26.0
11840620,PakWheels,Suzuki Wagon R,2016,26.25,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2016-for-sale-in-rawalpindi-11840620,2026-08-10T19:17,2026-08-12T12:42,26.25
11842069,PakWheels,Suzuki Alto,2015,26.5,https://www.pakwheels.com/used-cars/suzuki-alto-2015-for-sale-in-rawalpindi-11842069,2026-08-10T19:17,2026-08-12T12:42,26.5
11840552,PakWheels,Honda N Wgn,2015,26.5,https://www.pakwheels.com/used-cars/honda-n-wgn-2015-for-sale-in-islamabad-11840552,2026-08-10T19:17,2026-08-12T12:42,26.5
11839724,PakWheels,Nissan Dayz,2014,26.5,https://www.pakwheels.com/used-cars/nissan-dayz-2014-for-sale-in-islamabad-11839724,2026-08-10T11:09,2026-08-12T12:42,26.5
1117837875,OLX,Nissan Dayz,2014,26.5,https://www.olx.com.pk/item/-iid-1117837875,2026-08-10T11:09,2026-08-12T12:42,26.5
1117844699,OLX,Honda N Box,2015,26.5,https://www.olx.com.pk/item/-iid-1117844699,2026-08-10T11:09,2026-08-12T12:42,26.5
1117822865,OLX,Suzuki Alto,2021,26.7,https://www.olx.com.pk/item/-iid-1117822865,2026-08-10T11:09,2026-08-12T12:42,26.7
11839822,PakWheels,Daihatsu Mira,2012,26.75,https://www.pakwheels.com/used-cars/daihatsu-mira-2012-for-sale-in-islamabad-11839822,2026-08-10T11:09,2026-08-12T12:42,26.75
