id,source,model_full,variant,year,price_lacs,mileage_km,transmission,city,area,badge,rating,pics,ago,region,url,img,days,body,posted_date,dupkey,dup,first_seen,is_new,prev_high,price_drop,flags,price_pkr
11861168,PakWheels,Daihatsu Move,RS,2011,22.9,130000.0,Automatic,Rawalpindi,Rawalpindi,,,8.0,8h,core,https://www.pakwheels.com/used-cars/daihatsu-move-2011-for-sale-in-rawalpindi-11861168,https://cache3.pakwheels.com/ad_pictures/1493/daihatsu-move-rs-8-2011-149327765.jpg,0.3333333333333333,Tall-boy,2026-08-15,daihatsu move|2011|22.9|130000,False,2026-08-15T14:41,False,22.9,,,2290000.0
11860948,PakWheels,Suzuki Alto,ECO S,2014,23.8,116000.0,Automatic,Islamabad,Islamabad,,,8.0,8h,core,https://www.pakwheels.com/used-cars/suzuki-alto-2014-for-sale-in-islamabad-11860948,https://cache1.pakwheels.com/ad_pictures/1493/suzuki-alto-eco-s-2014-149322954.jpg,0.3333333333333333,Hatchback,2026-08-15,suzuki alto|2014|23.8|116000,False,2026-08-15T14:41,False,23.8,,,2380000.0
11861210,PakWheels,Suzuki Wagon R,FX,2015,23.99,100000.0,Automatic,Islamabad,Islamabad,,,20.0,8h,core,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2015-for-sale-in-islamabad-11861210,https://cache4.pakwheels.com/ad_pictures/1493/suzuki-wagon-r-fx-2-2015-149327972.jpg,0.3333333333333333,Tall-boy,2026-08-15,suzuki wagon r|2015|23.99|100000,False,2026-08-15T14:41,False,23.99,,,2399000.0
11861185,PakWheels,Nissan Dayz,Highway Star,2014,25.5,100000.0,Automatic,Rawalpindi,Rawalpindi,,,13.0,8h,core,https://www.pakwheels.com/used-cars/nissan-dayz-2014-for-sale-in-rawalpindi-11861185,https://cache4.pakwheels.com/ad_pictures/1493/nissan-dayz-highway-star-3-2014-149326834.jpg,0.3333333333333333,Hatchback,2026-08-15,nissan dayz|2014|25.5|100000,False,2026-08-15T14:41,False,25.5,,,2550000.0
11839822,PakWheels,Daihatsu Mira,G Smart Drive Package,2012,26.75,151000.0,Automatic,Islamabad,Islamabad,,,20.0,8h,core,https://www.pakwheels.com/used-cars/daihatsu-mira-2012-for-sale-in-islamabad-11839822,https://cache4.pakwheels.com/ad_pictures/1490/daihatsu-mira-g-smart-drive-package-2012-149005526.jpg,0.3333333333333333,Hatchback,2026-08-15,daihatsu mira|2012|26.75|151000,False,2026-08-10T11:09,False,26.75,,,2675000.0
11861232,PakWheels,Suzuki Alto,VXR,2024,28.95,28300.0,Manual,Rawalpindi,Rawalpindi,,,20.0,8h,core,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-rawalpindi-11861232,https://cache4.pakwheels.com/ad_pictures/1493/suzuki-alto-vxr-2-2024-149327631.jpg,0.3333333333333333,Hatchback,2026-08-15,suzuki alto|2024|28.95|28300,False,2026-08-15T14:41,False,28.95,,,2895000.0
11848801,PakWheels,Daihatsu Move,Custom RS,2015,18.7,117000.0,Automatic,Islamabad,Islamabad,,,5.0,9h,core,https://www.pakwheels.com/used-cars/daihatsu-move-2015-for-sale-in-islamabad-11848801,https://cache2.pakwheels.com/ad_pictures/1491/daihatsu-move-custom-rs-2015-149137338.jpg,0.375,Tall-boy,2026-08-15,daihatsu move|2015|18.7|117000,False,2026-08-12T12:42,False,18.7,,,1870000.0
11860880,PakWheels,Daihatsu Hijet,VAN Deluxe,2013,20.0,114000.0,Automatic,Islamabad,Islamabad,,,7.0,9h,core,https://www.pakwheels.com/used-cars/daihatsu-hijet-2013-for-sale-in-islamabad-11860880,https://cache3.pakwheels.com/ad_pictures/1493/daihatsu-hijet-van-deluxe-2013-149320395.jpg,0.375,Van,2026-08-15,daihatsu hijet|2013|20.0|114000,False,2026-08-15T11:57,False,20.0,,,2000000.0
11634740,PakWheels,Suzuki Alto,ECO S,2013,23.25,82000.0,Automatic,Islamabad,Islamabad,,,14.0,9h,core,https://www.pakwheels.com/used-cars/suzuki-alto-2013-for-sale-in-islamabad-11634740,https://cache2.pakwheels.com/ad_pictures/1471/suzuki-alto-eco-s-2013-147130742.jpg,0.375,Hatchback,2026-08-15,suzuki alto|2013|23.25|82000,False,2026-07-30T17:22,False,23.75,0.5,,2325000.0
11860887,PakWheels,Daihatsu Mira,X Limited ER,2014,23.7,165842.0,Automatic,Islamabad,Islamabad,,,10.0,9h,core,https://www.pakwheels.com/used-cars/daihatsu-mira-2014-for-sale-in-islamabad-11860887,https://cache4.pakwheels.com/ad_pictures/1493/daihatsu-mira-x-limited-er-2014-149322456.jpg,0.375,Hatchback,2026-08-15,daihatsu mira|2014|23.7|165842,False,2026-08-15T11:57,False,23.7,,,2370000.0
11734454,PakWheels,Suzuki Every,Wagon PZ Turbo Special,2013,24.5,98000.0,Automatic,Islamabad,Islamabad,,,18.0,9h,core,https://www.pakwheels.com/used-cars/suzuki-every-wagon-2013-for-sale-in-islamabad-11734454,https://cache4.pakwheels.com/ad_pictures/1473/suzuki-every-wagon-pz-turbo-special-2013-147387720.jpg,0.375,Van,2026-08-15,suzuki every|2013|24.5|98000,False,2026-08-15T11:57,False,24.5,,,2450000.0
11860789,PakWheels,Suzuki Alto,VXL,2020,26.75,92293.0,Automatic,Rawalpindi,Rawalpindi,Managed by PakWheels,8.7,14.0,9h,core,https://www.pakwheels.com/used-cars/suzuki-alto-2020-for-sale-in-rawalpindi-11860789,https://cache1.pakwheels.com/ad_pictures/1493/suzuki-alto-vxl-2-2020-149321019.jpg,0.375,Hatchback,2026-08-15,suzuki alto|2020|26.75|92293,False,2026-08-15T11:57,False,26.75,,,2675000.0
11843040,PakWheels,Daihatsu Move Conte,,2014,22.5,130000.0,Automatic,Islamabad,Islamabad,,,12.0,10h,core,https://www.pakwheels.com/used-cars/daihatsu-move-conte-2014-for-sale-in-islamabad-11843040,https://cache2.pakwheels.com/ad_pictures/1490/daihatsu-move-conte-2014-149052356.jpg,0.41666666666666663,Tall-boy,2026-08-15,daihatsu move conte|2014|22.5|130000,False,2026-08-15T11:57,False,22.5,,,2250000.0
11859481,PakWheels,Suzuki Alto,VXR Upgraded,2025,29.9,17900.0,Manual,Islamabad,Islamabad,,,10.0,10h,core,https://www.pakwheels.com/used-cars/suzuki-alto-2025-for-sale-in-islamabad-11859481,https://cache1.pakwheels.com/ad_pictures/1493/suzuki-alto-vxr-upgraded-2025-149302408.jpg,0.41666666666666663,Hatchback,2026-08-15,suzuki alto|2025|29.9|17900,False,2026-08-15T11:57,False,29.9,,,2990000.0
11860596,PakWheels,Suzuki Alto,ECO L,2012,20.9,105864.0,Automatic,Islamabad,Islamabad,,,14.0,11h,core,https://www.pakwheels.com/used-cars/suzuki-alto-2012-for-sale-in-islamabad-11860596,https://cache1.pakwheels.com/ad_pictures/1493/suzuki-alto-eco-l-2012-149317723.jpg,0.4583333333333333,Hatchback,2026-08-15,suzuki alto|2012|20.9|105864,False,2026-08-15T11:57,False,20.9,,,2090000.0
11860600,PakWheels,Suzuki Every,VX,2025,25.8,8000.0,Manual,Islamabad,Islamabad,,,12.0,11h,core,https://www.pakwheels.com/used-cars/suzuki-every-2025-for-sale-in-islamabad-11860600,https://cache4.pakwheels.com/ad_pictures/1493/suzuki-every-vx-2-2025-149317818.jpg,0.4583333333333333,Van,2026-08-15,suzuki every|2025|25.8|8000,False,2026-08-15T11:57,False,25.8,,,2580000.0
1118044547,OLX,Suzuki Alto,2020,2020,21.8,47500.0,,Islamabad,"F-10, Islamabad",,,,13h,core,https://www.olx.com.pk/item/-iid-1118044547,https://images.olx.com.pk/thumbnails/638244002-600x450.jpeg,0.5416666666666666,Hatchback,2026-08-15,suzuki alto|2020|21.8|47500,False,2026-08-15T09:05,False,21.8,,,2180000.0
11860420,PakWheels,Suzuki Alto,VXR,2025,29.85,21700.0,Manual,Islamabad,Islamabad,,,10.0,17h,core,https://www.pakwheels.com/used-cars/suzuki-alto-2025-for-sale-in-islamabad-11860420,https://cache1.pakwheels.com/ad_pictures/1493/suzuki-alto-vxr-2-2025-149315279.jpg,0.7083333333333333,Hatchback,2026-08-15,suzuki alto|2025|29.85|21700,False,2026-08-15T06:38,False,29.85,,,2985000.0
11860275,PakWheels,Daihatsu Mira ES,,2012,22.8,102000.0,Automatic,Rawalpindi,Rawalpindi,,,11.0,19h,core,https://www.pakwheels.com/used-cars/daihatsu-mira-2012-for-sale-in-rawalpindi-11860275,https://cache4.pakwheels.com/ad_pictures/1493/daihatsu-mira-es-2012-149313386.jpg,0.7916666666666666,Hatchback,2026-08-15,daihatsu mira es|2012|22.8|102000,False,2026-08-15T02:40,False,22.8,,,2280000.0
11860198,PakWheels,Nissan Clipper,E,2013,18.9,150000.0,Automatic,Islamabad,Islamabad,,,10.0,20h,core,https://www.pakwheels.com/used-cars/nissan-clipper-2013-for-sale-in-islamabad-11860198,https://cache4.pakwheels.com/ad_pictures/1493/nissan-clipper-e-7-2013-149312408.jpg,0.8333333333333333,Van,2026-08-15,nissan clipper|2013|18.9|150000,False,2026-08-15T02:40,False,19.25,0.35,,1890000.0
11859876,PakWheels,Suzuki Alto,ECO L,2014,24.3,164000.0,Automatic,Islamabad,Islamabad,,,17.0,21h,core,https://www.pakwheels.com/used-cars/suzuki-alto-2014-for-sale-in-islamabad-11859876,https://cache4.pakwheels.com/ad_pictures/1493/suzuki-alto-eco-l-2014-149307592.jpg,0.875,Hatchback,2026-08-14,suzuki alto|2014|24.3|164000,False,2026-08-15T00:11,False,24.3,,,2430000.0
11745016,PakWheels,Suzuki Alto,VXL,2023,29.9,27000.0,Automatic,Islamabad,Islamabad,,,18.0,22h,core,https://www.pakwheels.com/used-cars/suzuki-alto-2023-for-sale-in-islamabad-11745016,https://cache3.pakwheels.com/ad_pictures/1475/suzuki-alto-vxl-2-2023-147548981.jpg,0.9166666666666666,Hatchback,2026-08-14,suzuki alto|2023|29.9|27000,False,2026-08-15T00:11,False,29.9,,,2990000.0
11859745,PakWheels,Daihatsu Mira ES,,2015,25.6,110000.0,Automatic,Islamabad,Islamabad,,,14.0,23h,core,https://www.pakwheels.com/used-cars/daihatsu-mira-2015-for-sale-in-islamabad-11859745,https://cache2.pakwheels.com/ad_pictures/1493/daihatsu-mira-es-2015-149305823.jpg,0.9583333333333333,Hatchback,2026-08-14,daihatsu mira es|2015|25.6|110000,False,2026-08-15T00:11,False,25.6,,,2560000.0
1117162430,OLX,Suzuki Alto,2012,2012,14.2,223000.0,,Rawalpindi,"Asia Housing Scheme, Rawalpindi",,,,1d,core,https://www.olx.com.pk/item/-iid-1117162430,https://images.olx.com.pk/thumbnails/633084063-600x450.jpeg,1.0,Hatchback,2026-08-14,suzuki alto|2012|14.2|223000,False,2026-08-14T12:49,False,14.2,,,1420000.0
11858462,PakWheels,Nissan Clipper,E,2011,15.0,232388.0,Automatic,Islamabad,Islamabad,,,4.0,1d,core,https://www.pakwheels.com/used-cars/nissan-clipper-2011-for-sale-in-islamabad-11858462,https://cache2.pakwheels.com/ad_pictures/1492/nissan-clipper-e-7-2011-149286435.jpg,1.0,Van,2026-08-14,nissan clipper|2011|15.0|232388,False,2026-08-14T18:27,False,15.0,,,1500000.0
11858019,PakWheels,Suzuki Every,PC,2014,19.5,150000.0,Automatic,Rawalpindi,Rawalpindi,,,12.0,1d,core,https://www.pakwheels.com/used-cars/suzuki-every-2014-for-sale-in-rawalpindi-11858019,https://cache2.pakwheels.com/ad_pictures/1492/suzuki-every-pc-2014-149279494.jpg,1.0,Van,2026-08-14,suzuki every|2014|19.5|150000,False,2026-08-14T18:27,False,19.5,,,1950000.0
